,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,bill_length_mm_scaled,bill_depth_mm_scaled,flipper_length_mm_scaled,body_mass_g_scaled,species
28,37.9,18.6,172.0,3150.0,0.2109090909090907,0.6547619047619051,0.0,0.125,Adelie
118,35.7,17.0,189.0,3350.0,0.13090909090909109,0.4642857142857144,0.2881355932203391,0.18055555555555558,Adelie
68,35.9,16.6,190.0,3050.0,0.13818181818181818,0.41666666666666696,0.30508474576271194,0.09722222222222221,Adelie
78,36.2,16.1,187.0,3550.0,0.14909090909090916,0.35714285714285743,0.25423728813559343,0.23611111111111116,Adelie
163,51.7,20.3,194.0,3775.0,0.7127272727272729,0.8571428571428572,0.37288135593220373,0.29861111111111116,Chinstrap
213,46.8,16.5,189.0,3650.0,0.5345454545454544,0.4047619047619049,0.2881355932203391,0.26388888888888884,Chinstrap
343,49.9,16.1,213.0,5400.0,0.6472727272727272,0.35714285714285743,0.6949152542372885,0.75,Gentoo
84,37.3,17.8,191.0,3350.0,0.18909090909090898,0.5595238095238098,0.3220338983050848,0.18055555555555558,Adelie
193,46.2,17.5,187.0,3650.0,0.5127272727272727,0.5238095238095237,0.25423728813559343,0.26388888888888884,Chinstrap
106,38.6,17.2,199.0,3750.0,0.23636363636363633,0.48809523809523814,0.4576271186440679,0.29166666666666674,Adelie
200,51.5,18.7,187.0,3250.0,0.7054545454545453,0.6666666666666665,0.25423728813559343,0.1527777777777778,Chinstrap
323,49.1,15.0,228.0,5500.0,0.6181818181818182,0.22619047619047628,0.9491525423728815,0.7777777777777777,Gentoo
145,39.0,18.7,185.0,3650.0,0.25090909090909097,0.6666666666666665,0.22033898305084776,0.26388888888888884,Adelie
249,50.0,15.3,220.0,5550.0,0.6509090909090909,0.2619047619047621,0.8135593220338984,0.7916666666666667,Gentoo
230,40.9,13.7,214.0,4650.0,0.31999999999999984,0.0714285714285714,0.7118644067796613,0.5416666666666667,Gentoo
309,52.1,17.0,230.0,5550.0,0.7272727272727273,0.4642857142857144,0.9830508474576272,0.7916666666666667,Gentoo
130,38.5,17.9,190.0,3325.0,0.23272727272727267,0.5714285714285712,0.30508474576271194,0.17361111111111116,Adelie
50,39.6,17.7,186.0,3500.0,0.2727272727272727,0.5476190476190474,0.2372881355932206,0.2222222222222222,Adelie
104,37.9,18.6,193.0,2925.0,0.2109090909090907,0.6547619047619051,0.3559322033898309,0.0625,Adelie
285,49.8,16.8,230.0,5700.0,0.6436363636363636,0.4404761904761907,0.9830508474576272,0.8333333333333333,Gentoo
177,52.0,19.0,197.0,4150.0,0.7236363636363636,0.7023809523809526,0.42372881355932224,0.4027777777777777,Chinstrap
127,41.5,18.3,195.0,4300.0,0.3418181818181818,0.6190476190476191,0.38983050847457656,0.4444444444444444,Adelie
37,42.2,18.5,180.0,3550.0,0.3672727272727274,0.6428571428571428,0.13559322033898313,0.23611111111111116,Adelie
76,40.9,16.8,191.0,3700.0,0.31999999999999984,0.4404761904761907,0.3220338983050848,0.2777777777777777,Adelie
119,41.1,18.6,189.0,3325.0,0.3272727272727274,0.6547619047619051,0.2881355932203391,0.17361111111111116,Adelie
26,40.6,18.6,183.0,3550.0,0.3090909090909091,0.6547619047619051,0.1864406779661021,0.23611111111111116,Adelie
276,43.8,13.9,208.0,4300.0,0.4254545454545453,0.09523809523809534,0.6101694915254239,0.4444444444444444,Gentoo
257,44.4,17.3,219.0,5250.0,0.44727272727272727,0.5,0.7966101694915255,0.7083333333333333,Gentoo
269,45.2,15.8,215.0,5300.0,0.4763636363636363,0.3214285714285716,0.7288135593220342,0.7222222222222223,Gentoo
266,45.5,13.9,210.0,4200.0,0.4872727272727273,0.09523809523809534,0.6440677966101696,0.41666666666666674,Gentoo
332,43.5,15.2,213.0,4650.0,0.41454545454545455,0.25,0.6949152542372885,0.5416666666666667,Gentoo
161,51.3,19.9,198.0,3700.0,0.698181818181818,0.8095238095238093,0.4406779661016951,0.2777777777777777,Chinstrap
165,52.0,18.1,201.0,4050.0,0.7236363636363636,0.5952380952380953,0.4915254237288136,0.375,Chinstrap
44,37.0,16.9,185.0,3000.0,0.17818181818181822,0.4523809523809521,0.22033898305084776,0.08333333333333337,Adelie
235,49.3,15.7,217.0,5850.0,0.6254545454545453,0.30952380952380953,0.7627118644067798,0.875,Gentoo
123,41.4,18.5,202.0,3875.0,0.33818181818181814,0.6428571428571428,0.5084745762711869,0.32638888888888884,Adelie
179,49.5,19.0,200.0,3800.0,0.6327272727272726,0.7023809523809526,0.47457627118644075,0.3055555555555556,Chinstrap
319,51.1,16.5,225.0,5250.0,0.6909090909090909,0.4047619047619049,0.898305084745763,0.7083333333333333,Gentoo
234,45.8,14.6,210.0,4200.0,0.49818181818181806,0.1785714285714286,0.6440677966101696,0.41666666666666674,Gentoo
262,45.3,13.7,210.0,4300.0,0.47999999999999976,0.0714285714285714,0.6440677966101696,0.4444444444444444,Gentoo
248,48.2,14.3,210.0,4600.0,0.5854545454545454,0.14285714285714302,0.6440677966101696,0.5277777777777777,Gentoo
